"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"267",276,"Tyrannus_forficatus","","migratory","taxonomy","22131",NA,"MM","Royal Ontario Museum","1912",12,"11","Mexico","Mititlan","Vera Cruz","","",17.98406,-94.5335,12.985,7.515,6.155,18.9,48.495,124.995,213.594,"Adult","Male",38.7975519020761,"Tyrannus_forficatus"
"269",278,"Tyrannus_melancholicus","satrapa","partial","taxonomy","22686",NA,"MM","The Field Museum","1906",3,"26","Guatemala","Solola","","Pantulul","",14.42531,-91.1574,18.265,10.58,7.08,19.615,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"271",280,"Tyrannus_melancholicus","satrapa","partial","taxonomy","22689",NA,"MM","The Field Museum","1906",1,"18","Guatemala","Izabal","","Los Amates","",15.25474,-89.1,16.765,9.94,6.815,19.205,33.02,115.795,93.25,"Adult","Male",28.515911740576,"Tyrannus_melancholicus_satrapa"
"272",281,"Tyrannus_melancholicus","satrapa","partial","taxonomy","22690",NA,"MM","The Field Museum","1906",1,"17","Guatemala","Izabal","","Los Amates","",15.25474,-89.1,17.29,10.125,6.9,19.795,29.01,112.525,93.68,"Adult","Male",25.780937569429,"Tyrannus_melancholicus_satrapa"
"274",283,"Tyrannus_savana","savana","migratory","taxonomy","22810",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1975",3,"9","Colombia","Amazonas","","Leticia","",-4.203209,-69.9357,11.1,6.2,NA,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"278",287,"Tyrannus_tyrannus","","migratory","taxonomy","22923",48.3,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Mexico","Tabasco","","1mi E Teapa","",17.8386,-92.9578,13.52,8.2,6.665,19.01,40.41,121.115,84.72,"Adult","Male",33.3649836931842,"Tyrannus_tyrannus"
"279",288,"Tyrannus_melancholicus","satrapa","partial","taxonomy","22924",44.1,"MM","Louisiana State University Museum of tural Sciences","1959",3,"12","Mexico","Tabasco","","17 mi. N Teapa","",17.75163,-92.9248,17.63,10.225,7.79,18.57,29.36,116.67,NA,"Adult","Male",25.164995285849,"Tyrannus_melancholicus_satrapa"
"281",290,"Tyrannus_savana","monachus SA","sedentary","taxonomy","23041",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1975",12,"8","Colombia","Tolima","","Natagaima","",3.552123,-75.1135,12.5,6.3,5.3,NA,NA,NA,233,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"283",292,"Tyrannus_forficatus","","migratory","taxonomy","23904",NA,"MM","Royal Ontario Museum","1884",4,"25","United States of America","Texas","Bexar County","","",29.43552,-98.4624,14.165,7.505,5.87,18.27,49.53,127.865,255.279,"Adult","Male",38.7361670511868,"Tyrannus_forficatus"
"285",294,"Tyrannus_savana","monachus CA","sedentary","taxonomy","24000",28.6,"MM","Louisiana State University Museum of tural Sciences","1951",3,"15","Mexico","Tabasco","","7 miles South Huimonguillo","",17.74232,-93.3947,11.295,6.475,4.815,17.845,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"293",302,"Tyrannus_melancholicus","satrapa","partial","taxonomy","24479",41,"MM","Louisiana State University Museum of tural Sciences","1961",4,"3","Mexico","Oaxaca","","5 mi. SW Valle ciol","",17.73367,-96.3593,18.475,9.765,7.23,19.32,29.705,114.815,95.42,"Adult","Male",25.8720550450725,"Tyrannus_melancholicus_satrapa"
"294",303,"Tyrannus_melancholicus","satrapa","partial","taxonomy","24480",48.5,"MM","Louisiana State University Museum of tural Sciences","1961",3,"20","Mexico","Oaxaca","","1 mi. SW Valle ciol","",17.76539,-96.3136,19.675,10.61,7.48,20.355,31.68,116.69,95.24,"Adult","Male",27.1488559430971,"Tyrannus_melancholicus_satrapa"
"296",305,"Tyrannus_melancholicus","satrapa","partial","taxonomy","24482",48,"MM","Louisiana State University Museum of tural Sciences","1961",3,"25","Mexico","Oaxaca","","3 mi. SW Valle ciol","",17.74708,-96.3332,19.015,10.32,7.58,20.215,30.31,115.9,89.94,"Adult","Male",26.1518550474547,"Tyrannus_melancholicus_satrapa"
"297",306,"Tyrannus_melancholicus","satrapa","partial","taxonomy","24483",44.2,"MM","Louisiana State University Museum of tural Sciences","1961",2,"26","Mexico","Oaxaca","","1 mi. SW Valle ciol","",17.76539,-96.3136,16.11,9.82,7.005,19.82,32.33,114.45,90.08,"Adult","Male",28.2481432940148,"Tyrannus_melancholicus_satrapa"
"299",308,"Tyrannus_melancholicus","satrapa","partial","taxonomy","24485",46.4,"MM","Louisiana State University Museum of tural Sciences","1961",3,"21","Mexico","Oaxaca","","2 mi. SW Valle ciol","",17.75362,-96.3215,17.9,10.355,7.745,21.71,35.16,122.005,97.02,"Adult","Male",28.818491045449,"Tyrannus_melancholicus_satrapa"
"304",313,"Tyrannus_tyrannus","","migratory","taxonomy","25635",NA,"Nacho","American Museum of tural History","1842",NA,"","United States of America","Pennsylvania","","Pennsylvania","",40.8333,-76,14.5,7.4,6.4,18.1,39.75,120.5,78,"Adult","Male",32.9875518672199,"Tyrannus_tyrannus"
"305",314,"Tyrannus_vociferans","vociferans","partial","taxonomy","26418",NA,"MM","Smithsonian tiol Museum of tural History","",NA,"","Mexico","Baja California Sur","","Todo Santos","",23.44636,-110.227,18.26,8.785,NA,20.105,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"307",316,"Tyrannus_savana","savana","migratory","taxonomy","27467",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1982",9,"25","Colombia","Cundinamarca","","Bogota","",4.711283,-74.0726,11.1,5.6,5.1,NA,NA,118,250,"Adult","Male",NA,"Tyrannus_savana_savana"
